iter	MultiClass
0	2.231573601
1	2.164010612
2	2.113927691
3	2.063969141
4	2.023554451
5	1.990426299
6	1.955959199
7	1.928799923
8	1.898668984
9	1.874911658
10	1.85307137
11	1.830387195
12	1.810991788
13	1.794009884
14	1.778756632
15	1.767376155
16	1.751100467
17	1.733834122
18	1.725350592
19	1.716109127
20	1.704457554
21	1.690309717
22	1.681880495
23	1.672614149
24	1.664203186
25	1.654814979
26	1.643087341
27	1.634867991
28	1.625950132
29	1.618950479
30	1.613974694
31	1.60852667
32	1.602231448
33	1.596316059
34	1.58892826
35	1.584144592
36	1.576109807
37	1.568196839
38	1.562655637
39	1.555772698
40	1.552355704
41	1.547706201
42	1.542070814
43	1.537496173
44	1.534233777
45	1.52935968
46	1.523882047
47	1.520682942
48	1.515509919
49	1.513069418
50	1.509927107
51	1.504810468
52	1.501930107
53	1.497270878
54	1.494381653
55	1.489611192
56	1.486570787
57	1.48031608
58	1.475966224
59	1.470766768
60	1.465905315
61	1.461005521
62	1.455959359
63	1.451558512
64	1.447439804
65	1.444715318
66	1.439648669
67	1.435049258
68	1.432728659
69	1.429689607
70	1.425402378
71	1.422138256
72	1.416195661
73	1.411959734
74	1.408373915
75	1.405435605
76	1.400260225
77	1.396486561
78	1.393633265
79	1.390224392
80	1.386302279
81	1.383370489
82	1.378493986
83	1.375699892
84	1.371262322
85	1.368087584
86	1.365913431
87	1.361394895
88	1.357967236
89	1.353101915
90	1.350549009
91	1.34709643
92	1.34342176
93	1.340852653
94	1.338436064
95	1.333693411
96	1.330150221
97	1.327238282
98	1.321725447
99	1.319843288
100	1.315388121
101	1.310749924
102	1.308236127
103	1.303428707
104	1.298213182
105	1.292756451
106	1.291376721
107	1.286028016
108	1.27956428
109	1.275872313
110	1.272527278
111	1.268225343
112	1.263715963
113	1.261534775
114	1.258448373
115	1.255185586
116	1.251775429
117	1.248971751
118	1.243642776
119	1.240588966
120	1.237985041
121	1.23553722
122	1.231459681
123	1.227119689
124	1.223703893
125	1.221365634
126	1.218698651
127	1.216295491
128	1.215237637
129	1.211484623
130	1.208769227
131	1.205845281
132	1.20216977
133	1.200162567
134	1.197754105
135	1.19466899
136	1.191955398
137	1.189410681
138	1.187200194
139	1.183890615
140	1.181044412
141	1.17888724
142	1.176932406
143	1.173943642
144	1.171519141
145	1.167891412
146	1.164664943
147	1.163056444
148	1.158591653
149	1.155152111
150	1.15208474
151	1.149727485
152	1.147224707
153	1.14289106
154	1.140791955
155	1.137521092
156	1.13330218
157	1.129922488
158	1.126385716
159	1.124000671
160	1.121465422
161	1.116675295
162	1.115920051
163	1.113405942
164	1.111447818
165	1.108814189
166	1.105376594
167	1.104019709
168	1.10118609
169	1.096811437
170	1.09430512
171	1.091528778
172	1.087989239
173	1.084213625
174	1.081917882
175	1.079124572
176	1.076589718
177	1.075410497
178	1.073150089
179	1.070731318
180	1.068048974
181	1.064410924
182	1.061435351
183	1.057780947
184	1.054801813
185	1.053755247
186	1.049700621
187	1.04769304
188	1.045928308
189	1.043887507
190	1.040821396
191	1.038946001
192	1.035604047
193	1.03394099
194	1.03056364
195	1.027455711
196	1.02554386
197	1.022967369
198	1.020430398
199	1.01870423
200	1.016231542
201	1.014621764
202	1.011520496
203	1.010196273
204	1.007764063
205	1.005787545
206	1.004085114
207	1.002209102
208	1.000045418
209	0.9972845798
210	0.9961413675
211	0.9922455116
212	0.9903688642
213	0.9887930881
214	0.9867643761
215	0.9848379057
216	0.9830561313
217	0.9809063311
