iter	Passed	Remaining
0	93	46427
1	188	47036
2	285	47239
3	385	47863
4	514	50971
5	638	52588
6	746	52559
7	862	53033
8	1001	54624
9	1109	54347
10	1211	53859
11	1325	53897
12	1469	55031
13	1629	56559
14	1753	56697
15	1878	56820
16	2004	56958
17	2119	56754
18	2231	56483
19	2330	55932
20	2440	55674
21	2544	55287
22	2665	55274
23	2775	55048
24	2878	54700
25	2983	54385
26	3085	54055
27	3197	53905
28	3314	53835
29	3425	53661
30	3529	53404
31	3644	53302
32	3754	53138
33	3868	53020
34	3977	52842
35	4078	52561
36	4181	52319
37	4295	52224
38	4401	52029
39	4518	51967
40	4623	51755
41	4722	51500
42	4816	51188
43	4925	51050
44	5036	50926
45	5145	50782
46	5260	50700
47	5372	50593
48	5484	50478
49	5598	50384
50	5709	50264
51	5808	50046
52	5924	49966
53	6051	49984
54	6160	49844
55	6273	49739
56	6389	49662
57	6508	49596
58	6627	49534
59	6753	49524
60	6862	49388
61	6970	49240
62	7088	49167
63	7212	49137
64	7335	49089
65	7458	49043
66	7582	49005
67	7692	48873
68	7794	48690
69	7899	48524
70	8006	48375
71	8155	48480
72	8278	48426
73	8420	48474
74	8581	48627
75	8701	48547
76	8842	48574
77	8985	48612
78	9128	48647
79	9266	48647
80	9409	48671
81	9535	48606
82	9660	48534
83	9777	48423
84	9893	48303
85	10016	48220
86	10132	48098
87	10272	48092
88	10388	47975
89	10498	47828
90	10608	47680
91	10719	47537
92	10832	47406
93	10944	47269
94	11065	47175
95	11184	47070
96	11296	46932
97	11411	46809
98	11523	46674
99	11633	46535
100	11746	46402
101	11859	46276
102	11966	46124
103	12084	46015
104	12202	45906
105	12318	45788
106	12431	45659
107	12543	45529
108	12646	45363
109	12760	45243
110	12882	45146
111	12993	45013
112	13116	44921
113	13232	44806
114	13338	44654
115	13448	44518
116	13557	44380
117	13670	44256
118	13776	44107
119	13897	44008
120	14012	43889
121	14135	43796
122	14248	43673
123	14355	43529
124	14459	43379
125	14572	43254
126	14680	43117
127	14846	43147
128	14961	43029
129	15074	42904
130	15186	42775
131	15299	42652
132	15404	42506
133	15517	42382
134	15634	42271
135	15749	42153
136	15858	42019
137	15962	41872
138	16070	41736
139	16170	41582
140	16282	41456
141	16388	41318
142	16502	41197
143	16614	41075
144	16731	40963
145	16846	40846
146	16957	40720
147	17073	40607
148	17190	40494
149	17302	40372
150	17404	40227
151	17523	40118
152	17639	40005
153	17781	39949
154	17891	39823
155	18000	39694
156	18121	39590
157	18239	39481
158	18356	39367
159	18478	39265
160	18587	39137
161	18700	39016
162	18819	38909
163	18928	38780
164	19033	38644
165	19136	38503
166	19244	38373
167	19342	38225
168	19443	38082
169	19548	37947
170	19662	37830
171	19778	37716
172	19881	37580
173	19981	37436
174	20092	37314
175	20195	37178
176	20299	37043
177	20410	36921
178	20516	36792
179	20622	36661
180	20723	36523
181	20822	36382
182	20923	36245
183	21039	36132
184	21158	36026
185	21263	35896
186	21366	35763
187	21476	35641
188	21577	35505
189	21673	35362
190	21778	35233
191	21875	35092
192	21973	34951
193	22081	34828
194	22185	34700
195	22296	34582
196	22402	34457
197	22499	34317
198	22603	34189
199	22711	34067
200	22810	33932
201	22907	33793
202	23020	33679
203	23130	33561
204	23237	33439
205	23335	33304
206	23435	33171
207	23539	33045
208	23645	32922
209	23754	32803
210	23859	32679
211	23966	32557
212	24073	32437
213	24184	32321
214	24287	32194
215	24390	32069
216	24498	31949
217	24610	31835
218	24719	31717
219	24834	31607
220	24941	31487
